date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:17	15989/15989	---MCZ	200	added ('OK')	text/html	etag:W/%229e167e73878a97f028d6a6adbd9699cc%22	https://www.khoahocpeter.online/detail/cau-truc-du-lieu-va-giai-thuat-2024-28tech.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/cau-truc-du-lieu-va-giai-thuat-2024-28tech.html	(from https://www.khoahocpeter.online/index.html)
23:53:17	34365/34365	---M--	200	added ('OK')	image/jpeg	etag:%2242fad687976eeef3d38d604c6e96a94d%22	https://www.khoahocpeter.online/img/course-19.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-19.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:18	15979/15979	---MCZ	200	added ('OK')	text/html	etag:W/%228e0fa0df4461a0b0edf7c37d1ca35eb3%22	https://www.khoahocpeter.online/detail/lap-trinh-c++-co-ban-toi-nang-cao-28tech.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/lap-trinh-c++-co-ban-toi-nang-cao-28tech.html	(from https://www.khoahocpeter.online/index.html)
23:53:18	163252/163252	---M--	200	added ('OK')	image/jpeg	etag:%22ed7283170576b663ea23b2925a823e11%22	https://www.khoahocpeter.online/img/course-20.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-20.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:18	15545/15545	---MCZ	200	added ('OK')	text/html	etag:W/%22711400290a63d7d150cad067ae6c4e02%22	https://www.khoahocpeter.online/detail/lap-trinh-back-end-nodejs-28tech.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/lap-trinh-back-end-nodejs-28tech.html	(from https://www.khoahocpeter.online/index.html)
23:53:19	31336/31336	---M--	200	added ('OK')	image/jpeg	etag:%2243265ca1acfa639215314c70995c4c99%22	https://www.khoahocpeter.online/img/course-18.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-18.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:19	15570/15570	---MCZ	200	added ('OK')	text/html	etag:W/%22e46cc832e172d7afbc4d510275718911%22	https://www.khoahocpeter.online/detail/lap-trinh-back-end-java-28tech.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/lap-trinh-back-end-java-28tech.html	(from https://www.khoahocpeter.online/index.html)
23:53:19	31029/31029	---M--	200	added ('OK')	image/jpeg	etag:%2289f26c500928f3555e3c576af72e4e4e%22	https://www.khoahocpeter.online/img/course-24.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-24.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:20	23166/23166	---MCZ	200	added ('OK')	text/html	etag:W/%22141f1fbcaf37f47c141b145d31f143ea%22	https://www.khoahocpeter.online/detail/duthanhduoc/reactjs-super-du-thanh-duoc.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/duthanhduoc/reactjs-super-du-thanh-duoc.html	(from https://www.khoahocpeter.online/index.html)
23:53:20	6830/6830	---M--	200	added ('OK')	image/jpeg	etag:%229d07db406a4d560443ca8eb080749c9e%22	https://www.khoahocpeter.online/img/course-9.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-9.jpg	(from https://www.khoahocpeter.online/index.html)
